display_name,url,class,style,id,title,target,url_type
PURCHASE ORDER,Default.aspx?Module=64aea6f2-be79-48c6-a53b-6e6b60fcc528,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
PRODUCTS SEARCH,Default.aspx?Module=ae559c56-40be-48dc-8f67-e951d5766a7e,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
OSR SALES REPORTS,#,_MenuModule_1 _MenuModule_6,cursor:text;,,,,Anchor
ROUTE ADMIN,#,_MenuModule_1 _MenuModule_6,cursor:text;,,,,Anchor
ROUTE MANAGEMENT,#,_MenuModule_1 _MenuModule_6,cursor:text;,,,,Anchor
ROUTE OPERATIONS,#,_MenuModule_1 _MenuModule_6,cursor:text;,,,,Anchor
ROUTE SALES REPORTS,#,_MenuModule_1 _MenuModule_6,cursor:text;,,,,Anchor
ROUTE SALES TOOLS,#,_MenuModule_1 _MenuModule_6,cursor:text;,,,,Anchor
COMMISSION REPORT,Default.aspx?Module=db75476b-c9e2-4bc4-9384-f0d9da8600e9,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
NEW LEASE YEAR TO DATE,Default.aspx?Module=160c07d3-949c-4b51-b3e1-23386f2eb074,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
PRESIDENT CLUB,Default.aspx?Module=5c5b0e40-dad5-4a2d-a85e-78fea5e0451f,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
SALES ACTIVITY REPORT,Default.aspx?Module=e4250288-9014-483c-8d86-6b854a09af4b,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
SALES VENDOR REPORT,Default.aspx?Module=1faf2383-7446-4338-af09-326c7531cdcf,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
SUMMIT CLUB,Default.aspx?Module=dc266f6e-6896-40ec-8d04-2df1da1753ff,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
